dim_driver_id,category
226,
82,D
120,
175,B2
180,A
178,C2
203,B2
68,B2
179,C2
194,D
223,D
234,B2
12,B2
171,
36,B1
4,B2
230,A
108,C2
27,C2
16,A
24,C2
209,A
123,A
195,B2
181,B2
213,C1
217,B2
112,C2
177,C2
227,D
164,
32,C2
231,B2
155,B2
185,C2
220,D
96,A
78,B2
205,A
189,D
9,D
139,
105,
130,B2
147,B2
42,
117,B2
236,D
7,B1
211,B2
81,B2
225,B2
228,B2
79,D
201,C2
148,C2
207,C2
197,B2
182,B2
219,A
199,C2
221,
193,B1
233,B2
128,B2
232,B2
215,A
44,C2
235,B2
183,B2
72,D
184,D
191,C2
83,B2
100,B2
30,D
167,C2
144,B2
176,B2
160,C2
186,A
187,B2
64,D
166,C2
237,B2
162,B2
124,
